date,lastSyncTime,steps,distance,runDistance,calories
2019-05-28,1562230805,5359,3942,0,162
2019-05-29,1562230805,6028,4448,0,198
2019-05-30,1562230796,6737,4998,0,250
2019-05-31,1562230797,4171,2969,0,143
2019-06-01,1562230769,2780,1990,0,103
2019-06-02,1562230770,1410,1032,0,51
2019-06-03,1562230770,1027,683,0,53
2019-06-04,1562230772,3489,2392,0,112
2019-06-05,1562230771,4231,2867,0,103
2019-06-06,1562230774,6016,4486,0,174
2019-06-07,1562230773,3195,2204,0,87
2019-06-08,1562230776,5932,4461,0,201
2019-06-09,1562230775,2996,2083,0,80
2019-06-10,1562230769,4343,3125,0,136
2019-06-11,1562230778,5611,4022,0,206
2019-06-12,1562230778,3772,2621,0,116
2019-06-13,1562230780,8322,6320,0,266
2019-06-14,1562230779,6703,4741,0,198
2019-06-15,1562230781,1949,1440,0,75
2019-06-16,1562230780,4308,2944,0,119
2019-06-17,1562230783,5437,3797,0,158
2019-06-18,1562230782,2302,1636,0,80
2019-06-19,1562230784,4432,2949,0,141
2019-06-20,1562230777,8156,6158,0,323
2019-06-21,1562230776,5224,3891,0,189
2019-06-22,1562230788,6624,4711,0,199
2019-06-23,1562230787,1721,1330,0,63
2019-06-24,1562230789,7408,5260,0,201
2019-06-25,1562230789,2386,1593,0,75
2019-06-26,1562230792,5932,4182,0,155
2019-06-27,1562230790,5389,3653,0,155
2019-06-28,1562230794,6021,4402,0,197
2019-06-29,1562230793,1898,1263,0,82
2019-06-30,1562230785,2674,1920,0,109
2019-07-01,1562230799,4608,3315,0,167
2019-07-02,1562230798,2803,1989,0,102
2019-07-03,1562230802,3158,2161,0,91
2019-07-04,1562230801,27,18,0,3
2017-10-26,1508995036,0,0,0,0
2017-11-03,1509724027,0,0,0,0
2018-01-18,1516273788,0,0,0,0
2018-04-20,1524196051,0,0,0,0
2018-06-02,1527963944,2125,1445,105,46
2018-06-03,1528050378,1526,1033,162,38
2018-06-04,1528307835,0,0,0,0
2018-06-06,1528308561,211,143,16,5
2018-06-07,1528395102,10712,7909,359,268
2018-06-08,1528481512,9876,7723,261,278
2018-06-09,1528567924,1033,711,98,24
2018-06-10,1528654335,1824,1234,200,49
2018-06-11,1528740745,10691,8445,288,303
2018-06-12,1528827156,4738,3769,231,139
2018-06-13,1528913566,5796,4361,146,152
2018-06-14,1528999977,3439,2615,155,95
2018-06-15,1529086393,9585,7511,123,269
2018-06-16,1529172802,3748,2726,226,95
2018-06-17,1529259211,827,583,12,20
2018-06-18,1529345626,3745,2935,374,114
2018-06-19,1529432034,6994,5221,227,189
2018-06-20,1529549069,6091,4669,91,165
2018-06-21,1529604853,5862,4602,256,174
2018-06-22,1529690457,8773,6504,203,213
2018-06-23,1529777677,3462,2353,298,84
2018-06-24,1529864084,1911,1297,114,41
2018-06-25,1529950494,13756,10982,229,400
2018-06-26,1530036903,10021,7611,223,265
2018-06-27,1530123311,5686,4458,172,158
2018-06-28,1530209722,4452,3295,139,113
2018-06-29,1530296130,4729,3515,209,127
2018-06-30,1530382542,1167,790,83,30
2018-07-01,1530468952,1860,1309,98,44
2018-07-02,1530555364,749,509,107,23
2018-07-03,1530641772,1267,892,103,33
2018-07-04,1530729982,4410,3347,134,117
2018-07-05,1530814593,2771,2037,164,78
2018-07-06,1530901006,3309,2565,165,97
2018-07-07,1530987417,5036,3806,203,138
2018-07-08,1531106883,833,564,110,22
2018-07-09,1531160239,8708,6680,313,239
2018-07-10,1531246648,1985,1462,155,53
2018-07-11,1531333059,4884,3913,251,148
2018-07-12,1531419466,5126,3756,262,130
2018-07-13,1531505878,3616,2713,179,101
2018-07-14,1531592285,3426,2611,175,94
2018-07-15,1531678694,7067,5264,226,180
2018-07-16,1531765107,2565,1799,76,60
2018-07-17,1531851515,4142,2977,67,93
2018-07-18,1531937924,1172,796,182,32
2018-07-19,1532045940,474,333,50,13
2018-07-20,1532112567,363,246,44,12
2018-07-21,1532202558,5334,4110,64,132
2018-07-22,1532283570,1780,1255,41,40
2018-07-23,1532369980,599,405,65,15
2018-07-24,1532461790,4107,2924,288,98
2018-07-25,1532595006,1310,915,124,30
2018-07-26,1532629210,612,415,94,17
2018-07-27,1532789425,1791,1212,164,45
2018-07-28,1532802027,1000,684,143,28
2018-07-29,1532888442,5078,3793,229,133
2018-07-30,1532974849,505,342,34,12
2018-07-31,1533061258,252,171,36,9
2018-08-01,1533147668,1877,1387,95,50
2018-08-02,1533234057,3666,2658,331,95
2018-08-03,1533320489,5700,4246,307,143
2018-08-04,1533406900,2299,1691,124,59
2018-08-05,1533493306,563,381,86,15
2018-08-06,1533612120,570,386,103,18
2018-08-07,1533666128,3729,2671,172,88
2018-08-08,1533752537,889,602,62,21
2018-08-09,1534045562,4983,3389,249,110
2018-08-10,1534045563,1475,1033,107,39
2018-08-11,1534045563,270,183,61,9
2018-08-12,1534098176,2727,1855,184,60
2018-08-13,1534184583,1350,919,131,33
2018-08-14,1534270104,556,376,72,16
2018-08-15,1534357403,5457,4184,147,149
2018-08-16,1534443813,4965,3740,134,130
2018-08-17,1534530221,5264,3973,135,134
2018-08-18,1534616628,3586,2686,174,101
2018-08-19,1534703041,378,256,73,11
2018-08-20,1534788412,5252,3927,229,138
2018-08-21,1534875863,1704,1153,115,42
2018-08-22,1534964074,5317,3864,224,132
2018-08-23,1535048684,3085,2287,143,78
2018-08-24,1535135088,3355,2475,222,86
2018-08-25,1535221501,1214,821,96,31
2018-08-26,1535306652,3796,2638,278,94
2018-08-27,1535394331,6914,5319,170,188
2018-08-28,1535480730,3392,2478,140,82
2018-08-29,1535567142,4175,3249,95,111
2018-08-30,1535653554,677,458,88,17
2018-08-31,1535739961,3666,2702,136,88
2018-09-01,1535826374,1728,1247,96,43
2018-09-02,1535912782,1496,1042,129,37
2018-09-03,1535999193,5843,4332,269,152
2018-09-04,1536085600,4585,3487,88,118
2018-09-05,1536172014,5917,4507,368,165
2018-09-06,1536258425,5473,4148,102,142
2018-09-07,1536344835,4657,3655,113,132
2018-09-08,1536431249,5341,3725,295,117
2018-09-09,1536551910,6146,4202,345,134
2018-09-10,1536636511,5860,4612,136,164
2018-09-11,1536722882,4146,3021,235,104
2018-09-12,1536811142,4911,3788,217,139
2018-09-13,1536865100,5855,4315,192,151
2018-09-14,1536951495,3532,2733,163,92
2018-09-15,1537070319,4139,3022,203,100
2018-09-16,1537122536,4346,3182,273,115
2018-09-17,1537208934,6218,4714,267,168
2018-09-18,1537295344,3298,2373,136,79
2018-09-19,1537381755,6207,4638,374,163
2018-09-20,1537468166,3595,2851,128,103
2018-09-21,1537554575,3727,2924,82,107
2018-09-22,1537640984,5388,3888,292,133
2018-09-23,1537753194,2003,1403,127,50
2018-09-24,1537813801,4181,3077,197,104
2018-09-25,1537898414,11324,7826,546,249
2018-09-26,1537984822,3345,2456,281,97
2018-09-27,1538071238,2851,2045,270,85
2018-09-28,1538157642,2631,1843,183,65
2018-09-29,1538244049,4241,2870,335,90
2018-09-30,1538330459,5134,3493,262,104
2018-10-01,1538416872,4163,3025,175,100
2018-10-02,1538503306,6259,4793,306,173
2018-10-03,1538589689,3277,2371,236,82
